restaurantNumber,restaurantName,latitude,longitude
1222,Fountain Square OH,39.101973,-84.512958
2579,Covington - KY,39.086238,-84.51897
62,U of Cincinnati,39.128127,-84.519368
2088,Newport Pavilion 2,39.087037,-84.477918
1238,Stetson Square,39.135092,-84.502779
1242,Norwood,39.157164,-84.457622
3461,Ft Wright,39.034226,-84.533712
689,Buttermilk,39.047485,-84.576219
124,Hyde Park,39.145323,-84.431855
1381,NKU,39.037629,-84.454721
289,Western Hills,39.131107,-84.610291
1838,Delhi,39.093965,-84.616116
2274,Erlanger,39.021412,-84.589667
1202,Bridgetown,39.151516,-84.628302
1835,Fairfax,39.143092,-84.387301
1067,Finneytown,39.219475,-84.518652
3274,Anderson Towne Center,39.073737,-84.346179
2702,Dent,39.190949,-84.656508
1532,Kenwood Towne Centre,39.202023,-84.377149
565,Florence,39.001518,-84.652732
61,Kenwood,39.204106,-84.368105
1307,Dream Street,38.988771,-84.641847
3436,Hebron,39.079721,-84.706716
526,Colerain,39.2431,-84.594132
82,Beechmont,39.072193,-84.312245
1103,Evendale,39.253254,-84.426266
1522,Shoppes of Burlington,39.019039,-84.693862
2585,Tri County Relo,39.289776,-84.466155
3365,Union,38.962813,-84.679231
568,Glen Este,39.092887,-84.263778
672,Cornell,39.27182,-84.376281
318,Forest Park,39.303063,-84.522788
1399,Sharonville,39.292668,-84.392782
577,Milford,39.18742,-84.260014
1503,Amelia,39.047266,-84.24678
3098,Loveland,39.25131,-84.297108
811,Union Centre #2,39.32501,-84.430265
1351,Jungle Jim's,39.335861,-84.526835
78,Fields Ertl,39.299562,-84.314295
3431,Beckett Ridge,39.359203,-84.460968
1396,Harrison,39.260609,-84.793431
375,Tylersville,39.35327,-84.361763
1011,Indian Springs,39.389981,-84.504327
2674,Liberty Township,39.377833,-84.377698
2442,Aurora Indiana,39.078143,-84.88931
1610,Kings Island,39.356517,-84.259052
3390,Hamilton #2,39.424029,-84.595818
1667,Cincinnati Premium Outlets,39.440045,-84.330696
1311,Miami-Oxford,39.510312,-84.742634
1280,Springboro,39.563291,-84.265251
2401,Austin Landing,39.597056,-84.23142
331,Centerville,39.628827,-84.189247
872,Bellbrook,39.652227,-84.109395
1366,Far Hills,39.684779,-84.168211
1151,Indian Ripple,39.694858,-84.103369
126,U of Dayton,39.741625,-84.182484
1695,Xenia,39.689679,-83.962089
2720,Colonel Glenn,39.776151,-84.075405
283,Beaver Creek,39.770859,-84.053009
1101,Richmond Village,39.831467,-84.849463
1824,Englewood OH,39.858352,-84.277631
733,Little York,39.845602,-84.1928
1171,Huber Heights #2,39.865701,-84.13854
1254,Jeffersonville,39.618218,-83.603905
1400,Troy Pavilion,40.056496,-84.243259
882,Bechtle Ave,39.951231,-83.83
499,U of Kentucky,38.042723,-84.502723
1704,Columbus Indiana,39.220992,-85.889324
545,Hamburg Place,38.017243,-84.418305
572,Mount Tabor,38.005258,-84.449344
2429,Fayette Mall,37.987081,-84.525813
2096,Springhurst,38.293595,-85.559808
2428,Middletown Commons,38.24303,-85.50888
2615,Hurstbourne,38.240621,-85.577978
2777,Sidney,40.287106,-84.18447
1279,Chillicothe,39.361621,-82.976921
2248,Highlands,38.238987,-85.721278
1965,Downtown Louisville,38.25318,-85.75691
2913,Circleville,39.581716,-82.952244
3084,Grove City South,39.840718,-83.084876
538,Georgesville,39.919867,-83.126363
2380,Greenwood,39.638171,-86.128933
3514,Bellefontaine,40.338428,-83.76185
3507,Lincoln Village,39.95289,-83.12834
555,Hilliard Rome,39.989194,-83.152182
639,Grove City,39.878272,-83.042323
